APB-19,2008,0,FOR-2,SHL-49,JOS-25,JOS-34,BRO-16,NA,NA,NA,NA,NA
APB-19,2010,0,FOR-2,SHL-49,JOS-25,JOS-34,BRO-16,NA,NA,NA,NA,NA
APB-19,2012,0,FOR-2,SHL-49,JOS-25,JOS-34,BRO-16,NA,NA,NA,NA,NA
APB-19,2014,0,FOR-2,SHL-49,JOS-25,JOS-34,BRO-16,NA,NA,NA,NA,NA
APB-5,2008,0,FOR-2,SHL-49,JOS-25,JOS-34,BRO-16,NA,NA,NA,NA,NA
APB-5,2010,0,FOR-2,SHL-49,JOS-25,JOS-34,BRO-16,NA,NA,NA,NA,NA
APB-5,2012,0,FOR-2,SHL-49,JOS-25,JOS-34,BRO-16,NA,NA,NA,NA,NA
APB-5,2014,0,FOR-2,SHL-49,JOS-25,JOS-34,BRO-16,NA,NA,NA,NA,NA
BRO-10,2014,0,BRO-10,BRO-196,BRO-245,NA,NA,NA,NA,NA,NA,NA
BRO-118,2007,0,SXM-30,SXM-216,GRN-28,BRO-21,NA,NA,NA,NA,NA,NA
BRO-118,2010,0,SXM-30,SXM-216,GRN-28,BRO-21,NA,NA,NA,NA,NA,NA
BRO-118,2014,0,SXM-30,SXM-216,GRN-28,BRO-21,NA,NA,NA,NA,NA,NA
BRO-119,2010,0,SXM-216,SXM-30,SXM-151,BRO-21,NA,NA,NA,NA,NA,NA
BRO-119,2012,0,SXM-216,SXM-30,SXM-151,BRO-21,NA,NA,NA,NA,NA,NA
BRO-119,2014,0,SXM-216,SXM-30,SXM-151,BRO-21,NA,NA,NA,NA,NA,NA
BRO-129,2014,0,BRO-129,SXM-40,SHL-49,BRO-16,SXM-107,NA,NA,NA,NA,NA
BRO-135,2007,0,BRO-243,BRO-42,BRO-172,NA,NA,NA,NA,NA,NA,NA
BRO-135,2010,0,BRO-243,BRO-42,BRO-172,NA,NA,NA,NA,NA,NA,NA
BRO-135,2012,0,BRO-243,BRO-42,BRO-172,NA,NA,NA,NA,NA,NA,NA
