Site,Reference,STORD,ALT,DFS,LAT,LONG,CATA,ALK,BNKW,BNKH,COND,PRIF,RDEP,RVEL,REBE,REBO,RECO,REPE,REGR,RBED,RBOU,RCOB,RPEB,RGRA,SUBS,VD,PRRR
129-T,1,5,380,75,3510.00,14841.00,892.7,30,32,1.2,62.9,60,38,1.013,0,30,40,10,10,0,30,50,10,10,20,17,12
130-T,1,3,470,37,3512.00,14841.00,172.3,22,25,1.3,44.9,70,14,0.74,0,30,30,20,10,0,20,40,10,10,20,13,12
131-T,1,4,440,14,3515.00,14843.00,41.7,22,10,0.3,53.1,40,20,0.62,0,20,50,10,10,0,30,40,10,10,20,10,11
132-T,1,5,420,65,3515.00,14844.00,590.7,72,30,0.8,68.9,60,31,0.761,10,30,30,10,10,0,50,30,10,10,20,20,15
133-T,1,5,660,41,3527.00,14843.00,304,42,17,0.6,82.3,70,30,1.26,0,20,60,10,10,0,20,60,10,10,20,19,12
134-T,1,3,670,5,3526.00,14844.00,10.4,26,5,0.6,56.1,70,13,0.49,0,10,50,20,15,0,10,40,30,20,20,10,11
135-T,1,3,620,7,3524.00,14845.00,26.8,26,7,0.6,53.3,80,22,0.57,0,30,40,10,10,0,30,50,10,10,20,10,11
136-T,1,5,620,48,3524.00,14845.00,393.8,40,15,0.4,78.2,90,18,0.67,0,30,30,20,10,0,20,30,20,20,20,15,13
137-T,1,4,640,18,3524.00,14845.00,69.7,24,11,0.9,46.1,80,17,0.634,0,20,40,20,10,0,20,40,20,10,20,10,11
138-T,1,3,910,6,3521.00,14840.00,12.3,24,3,0.7,46.8,80,31,0.75,0,10,20,20,10,0,10,30,20,10,12,11,12
139-T,1,2,1040,3,3517.00,14837.00,7.9,10,7,0.9,20.4,80,30,0.52,0,20,20,10,10,0,10,30,20,10,14,10,11
140-T,1,3,940,8,3525.00,14834.00,32.3,27,5.5,2.5,27.8,60,31,0.35,0,10,10,10,10,0,0,20,20,20,12,15,11
141-T,1,3,960,15,3524.00,14832.00,32.4,14,6,1,30.6,60,27,0.69,0,10,10,20,20,0,0,20,30,30,11,15,13
144-T,1,4,730,7,3542.00,14912.00,42.3,82,15,1.5,240,30,15,0.38,0,20,40,20,10,0,10,40,20,20,18,10,8
146-T,1,7,600,198,3545.00,14908.00,4580,30,70,5,75,60,26,0.77,0,10,30,30,15,0,20,30,20,20,20,19,15
150-T,1,4,840,21,3553.00,14915.00,117.3,36,15,4,97.1,40,16,0.488,5,30,30,15,10,0,40,40,10,10,20,10,11
153-T,1,5,700,81,3606.00,14911.00,1515.3,42,40,1.5,108.4,40,21,0.52,0,0,50,20,10,0,0,40,30,20,17,15,11
154-T,1,5,700,74,3608.00,14914.00,969.1,32,30,0.5,90.8,50,32,0.91,0,0,20,30,20,0,0,40,30,20,18,15,11
157-T,1,5,760,38,3615.00,14921.00,211.2,32,40,5,76.1,10,22,0.45,0,0,30,20,20,0,0,40,20,20,18,15,11
158-T,1,4,780,25,3610.00,14924.00,205.8,12,12,0.8,41.7,30,39,0.9,0,10,30,20,20,0,0,30,30,20,16,15,15
159-T,1,3,920,13,3608.00,14929.00,111.3,8,13,1.5,34.2,40,39,1,0,20,50,10,10,0,20,50,10,10,18,15,12
160-T,1,2,920,8,3605.00,14931.00,38,14,5,1,47.5,20,32,0.82,10,10,40,20,10,0,10,50,10,10,18,15,11
162-T,1,3,860,14,3624.00,14927.00,71.8,182,5,0.5,430,70,12,0.39,0,20,60,10,10,0,30,50,10,10,20,10,11
163-T,1,4,860,14,3624.00,14927.00,128.4,14,17,0.7,47.6,30,25,0.646,50,0,20,10,10,60,0,20,10,10,11,16,12
164-T,1,4,1000,20,3627.00,14922.00,56.3,16,6,0.4,43.9,15,24,0.57,0,0,0,20,20,0,0,0,10,10,10,15,3
165-T,1,4,1010,12,3622.00,14925.00,42.2,18,10,0.3,53.7,20,27,0.93,0,0,10,10,20,0,0,0,20,10,9,13,7
166-T,1,3,910,7,3622.00,14910.00,24,172,7,2,401,10,8,0.32,0,10,50,10,10,0,0,50,15,20,18,7,7
169-T,1,6,740,135,3612.00,14904.00,1791.6,20,27,2,41.3,30,40,0.77,0,20,40,10,10,0,30,40,20,10,20,18,15
170-T,1,5,940,18,3600.00,14857.00,113.5,36,15,2,118.5,60,14,0.7,0,10,30,20,20,0,10,50,20,10,17,10,9
172-T,1,5,1000,89,3658.00,14850.00,692.1,12,30,2.2,24.1,40,29,0.71,0,10,30,20,20,0,10,40,20,20,18,15,11
173-T,1,5,1060,74,3650.00,14848.00,572.1,21,35,1.8,20,30,25,0.902,0,10,40,20,10,0,20,60,10,10,20,16,15
174-T,1,4,1100,10,3657.00,14844.00,93.4,12,8,0.4,30.8,60,11,0.32,0,5,25,30,10,0,0,10,40,20,18,15,11
176-T,1,5,1180,52,3647.00,14841.00,488.6,10,25,1.6,23.8,40,11,0.48,0,20,50,10,10,0,10,60,10,10,20,10,12
179-T,1,4,1240,32,3647.00,14834.00,200,8,25,0.8,17.5,90,36,0.42,0,20,40,15,15,0,10,50,20,20,20,17,15
180-T,1,3,1240,15,3646.00,14834.00,72,8,15,1,18.3,90,24,0.69,0,30,30,10,10,0,40,30,10,10,20,15,12
181-T,1,3,1100,21,3643.00,14833.00,90,10,10,0.8,17,80,18,1.07,0,0,30,30,20,0,0,30,40,20,18,15,15
