,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
SXM-113,SXM-30,BRO-243,SXM-63,NA,NA,NA,NA,NA,NA,NA
SXM-131,JOS-34,MCR-13,SXM-281,SHL-49,NA,NA,NA,NA,NA,NA
SXM-144,SXM-40,BRO-243,BRO-16,NA,NA,NA,NA,NA,NA,NA
SXM-151,SXM-151,BRO-21,SXM-216,NA,NA,NA,NA,NA,NA,NA
SXM-152,BRO-243,SXM-40,BRO-243,BRO-16,BRO-245,NA,NA,NA,NA,NA
SXM-205,SXM-151,SXM-216,BRO-21,BRO-129,FOR-2,NA,NA,NA,NA,NA
SXM-216,SXM-216,FOR-2,SXM-151,BRO-21,NA,NA,NA,NA,NA,NA
SXM-255,SXM-281,SXM-40,BRO-129,NA,NA,NA,NA,NA,NA,NA
SXM-281,BRO-129,SXM-40,SXM-281,NA,NA,NA,NA,NA,NA,NA
SXM-30,SXM-30,BRO-243,GRN-49,SXM-40,NA,NA,NA,NA,NA,NA
SXM-314,BRO-57,SXM-40,BRO-243,NA,NA,NA,NA,NA,NA,NA
SXM-347,SXM-281,SXM-40,BRO-57,NA,NA,NA,NA,NA,NA,NA
SXM-349,BRO-243,SXM-40,SXM-63,SXM-30,NA,NA,NA,NA,NA,NA
SXM-38,SXM-63,BRO-196,FOR-2,JOS-34,NA,NA,NA,NA,NA,NA
SXM-381,FOR-2,SHL-49,SXM-107,NA,NA,NA,NA,NA,NA,NA
SXM-40,SXM-40,BRO-129,BRO-16,BRO-243,NA,NA,NA,NA,NA,NA
SXM-431,SHL-49,BRO-16,JOS-34,SXM-40,BRO-129,NA,NA,NA,NA,NA
SXM-435,BRO-16,SXM-30,SXM-63,BRO-243,NA,NA,NA,NA,NA,NA
SXM-436,BRO-16,JOS-34,BRO-243,SXM-40,NA,NA,NA,NA,NA,NA
SXM-437,BRO-196,BRO-10,BRO-245,SXM-63,NA,NA,NA,NA,NA,NA
SXM-63,SXM-63,BRO-243,BRO-42,BRO-196,BRO-57,SXM-30,NA,NA,NA,NA
TUK-3,FOR-2,SHL-49,JOS-25,JOS-34,BRO-16,NA,NA,NA,NA,NA
TUK-5,FOR-2,SHL-49,JOS-25,JOS-34,BRO-16,NA,NA,NA,NA,NA
WDG-2,FOR-2,SHL-49,JOS-25,JOS-34,BRO-16,NA,NA,NA,NA,NA
